,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
74,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280381226705010693,kizu91,Le Nam Giang,,,2020-07-07 06:00:47,Twitter for Android,0,894,,,
75,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280381196564922368,Metal__Milita,Unforgiven,,,2020-07-07 06:00:40,Twitter for Android,0,894,,,
76,"President of Brazil #JairBolsonaro reacts during a press conference on June 05, 2020 in Brasilia. Bolsonaro said today that he had been tested for #coronavirus and is awaiting the result. A published report noted that he has symptoms of #COVID19. 📷: @DreAnholete https://t.co/6bjRSFzi99",286,1280381192496451584,2CarlosRB,Carlos,Spain,,2020-07-07 06:00:39,Twitter Web App,0,10,,,
77,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280381186381090819,Andre3Verzaal,André Verzaal,Alphen aan den Rijn. Netherlands,,2020-07-07 06:00:37,Flamingo for Android,0,894,,,
78,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280381035918659585,SapanBajpai5,Sapan Bajpai,"Kanpur, India",,2020-07-07 06:00:01,Twitter for Android,0,176,,,
79,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280380776618622977,Andresarist_01,Andrés Aristizabal,Bogota Colombia. ,,2020-07-07 05:59:00,Twitter for iPhone,0,176,,,
80,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280380613766283264,AremuStunt,AremuStunt,,,2020-07-07 05:58:21,Twitter for iPhone,0,894,,,
81,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280380571730841602,Ray04287946,Rahil🇮🇳,,,2020-07-07 05:58:11,Twitter for Android,0,894,,,
82,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280380357552955392,thedinoapp,Dinoapp,"San Francisco, CA",,2020-07-07 05:57:20,Twitter Web App,0,176,,,
83,"15. Brazil submitted.   Trump welcomes a new friend to the table when Brazil elects their version of Trump with Bolsonaro as President. He submits (hands clasped in photo) &amp; quickly arrests Oprah’s best friend, spiritual advisor and accused trafficker, John of God.   #QAnon https://t.co/y4e2WO6HB3",302,1280380216016121856,TerribleTrolll,Terrible Troll ⭐⭐⭐,Canada,,2020-07-07 05:56:46,Twitter for Android,0,605,,,
84,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280379988319981568,rina5597,りな RINA,Tokyo,,2020-07-07 05:55:52,Twitter for iPhone,0,176,,,
85,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280379956736987136,portolan11,portolan,,,2020-07-07 05:55:44,Twitter Web App,0,894,,,
86,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280379952068788225,YUCAYO1,YUCAYO,,,2020-07-07 05:55:43,Twitter Web App,0,176,,,
87,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280379817762918401,_magalerie,Anne,"Paris, France",,2020-07-07 05:55:11,Twitter for iPhone,0,176,,,
88,"Unbelievable photo taken of Bolsonaro, President of Brazil with his arm around the US ambassadors shoulder durin a July 4 celebration. Nor SD no masks. The Trump of Brazil has active COVID 19 symptoms but denies he is COVID 19 positive. Shameful. https://t.co/eCWRIxUnNT",270,1280379283693883392,the4thpip,the4thpip,where the heart is,,2020-07-07 05:53:04,Twitter Web App,0,4,,,
89,"Brazil's fascist president Bolsonaro tests positive for #COVID19!  He REFUSED to take precautions, to the point of Brazilian courts fining him for not wearing a mask!  He buried data on the virus and didn't enact safety measures.  Now Brazil is in serious trouble as an epicenter. https://t.co/1AK7BiE5vk",304,1280379207814651909,sweetz_007,Sweetz⚡️Is Staying TF At Home⚡️,#TheResistance FL,,2020-07-07 05:52:46,Twitter for iPhone,0,114,,,
90,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280378969485971456,KeyTocontinue,Any-Key Tocontinue (🏡),Germany,,2020-07-07 05:51:49,Twitter Web App,0,176,,,
91,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280378963668488192,PagIiacci,Pagliacci - Não Estou a Venda,Hungria,,2020-07-07 05:51:47,Twitter for Android,0,176,,,
92,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280378953451089920,joey_blau,Joe 'Summertime' Blau,on a lake in the hills,,2020-07-07 05:51:45,Twitter for Android,0,894,,,
93,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280378595492454401,JpFair,JP Fair 😷,,,2020-07-07 05:50:20,Twitter Web App,0,176,,,
94,"#forcacovid é a 2 tag trending no mundo.  This word ""forcacovid"" is the reaction of the Brazilian folks to know that probably their President got COVID. He defied all good behavior to contain the disease, and did sabotage against all efforts to contain the pandemics in Brazil. https://t.co/hKIJgWI23M",301,1280378578572644353,carlspartacus,Carl Spartacus 🇧🇷🇫🇷🕉📝📡👽,many earths in the multiverse,,2020-07-07 05:50:16,Twitter Web App,4,0,,,
95,"#Brazilian president Jair #Bolsonaro expects to get the results of another #coronavirus test on Tuesday (today), a few days after showing symptoms, including a fever. #Corona #Covid #Brazil",189,1280378352579346432,tameryazar,Tamer Yazar,Turkey-Israel,,2020-07-07 05:49:22,TweetDeck,0,0,,,
96,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280378205564616704,setagayacubsfan,SetagayaCubsfan,,,2020-07-07 05:48:47,Twitter Web App,0,176,,,
97,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280377941843730433,Rafael33341,Rafael3334,,,2020-07-07 05:47:44,Twitter for Android,0,176,,,
98,Watch: #Brazil 's President #JairBolsonaro shows symptoms of #COVIDー19  https://t.co/yrEwXhIi8u,95,1280377936881672192,Omprakashbijay,Om Prakash Mahato,"पश्चिम बंगाल, भारत",,2020-07-07 05:47:43,Twitter for Android,0,5,,,
99,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280377875753885698,Lonewol66215210,Lonewolf,waterdeep city,,2020-07-07 05:47:28,Twitter for Android,0,894,,,
100,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280377685013860352,angelofderby,Emma,,,2020-07-07 05:46:43,Twitter for iPhone,0,894,,,
101,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280377496261844994,kate_sheridan,kate sheridan,SW Michigan,,2020-07-07 05:45:58,Twitter Web App,0,176,,,
102,"President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - reports CNN",115,1280377462371819521,Umairlaar,Umair Tweets ! Stay Home Save Lives,Earth,,2020-07-07 05:45:49,Twitter for Android,0,1,,,
103,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280377314468077574,jasin_chang,Jasin Chang,"Massachusetts, USA",,2020-07-07 05:45:14,Twitter for Android,0,894,,,
104,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280377080505647104,moniraism,Monira Al Q.,Nowhere,,2020-07-07 05:44:18,Twitter for iPhone,0,176,,,
105,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280377068404895745,TokDaddy69,🇲🇾Johny Wu,"Kuala Lumpur, Malaysia 🇲🇾",,2020-07-07 05:44:16,Twitter Web App,0,176,,,
106,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280377046234025984,broncowriter,Bronco Castro,,,2020-07-07 05:44:10,Twitter for iPad,0,176,,,
107,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280376794533769216,timgrecco,Tim Grecco,"Vienna, Austria and Newton, MA",,2020-07-07 05:43:10,Twitter Web App,0,176,,,
108,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280376639751364608,DorothyHagan,Dorothy Hagan,"Houston, Texas",,2020-07-07 05:42:33,Twitter for iPad,0,176,,,
109,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280376331331465218,pedrocantue,Pedro Cantu Elizondo,Monterrey México,,2020-07-07 05:41:20,Twitter Web App,0,176,,,
110,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280376226889244672,Flor2E,CristinaEFlor2,,,2020-07-07 05:40:55,Twitter for Android,0,176,,,
111,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280376177945989120,Ganzzahl,Ganz oder gar nicht,,,2020-07-07 05:40:43,Twitter Web App,0,894,,,
112,"BREAKING: President of Brazil Jair Bolsonaro is showing symptoms of coronavirus, test results expected tomorrow - CNN Brazil / Reuters",134,1280375950648147968,robin_urban,Robin for Future 🌍,,,2020-07-07 05:39:49,Twitter for Android,0,894,,,
113,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280375945539407872,ChaoTyrion,Tyrion Chao🇺🇸,"Los Angeles, CA",,2020-07-07 05:39:48,Twitter for iPhone,0,176,,,
114,President Jair Bolsonaro of Brazil said he would take another test for the coronavirus after a news report indicated he had developed symptoms of Covid-19 https://t.co/0uqXmc36TE,178,1280375898227781632,marcellomello,MM,Rio de Janeiro - Brasil,,2020-07-07 05:39:37,Twitter for Android,0,176,,,
